rowid	id_ultimate_parent	name_ultimate_parent	id_direct_loantaker	name_direct_loantaker	sector_classification_system	sector_classification_direct_loantaker	chunk	id_2dii	level	sector	sector_ald	name	name_ald	score	source
1	UP158	Kaytee Apex Pvt. Ltd.	C126	Nalini Properties Pvt. Ltd.	"NACE"	3511	4	UP12	ultimate_parent	power	power	Kaytee Apex Pvt. Ltd.	kaytee apex pvt. ltd.	1	loanbook
1	UP158	Kaytee Apex Pvt. Ltd.	C126	Nalini Properties Pvt. Ltd.	"NACE"	3511	4	DL32	direct_loantaker	power	power	Nalini Properties Pvt. Ltd.	nalini properties pvt. ltd.	1	loanbook
2	UP64	City Maebashi	C124	Nagreeka Foils Ltd	"NACE"	3511	4	UP6	ultimate_parent	power	power	City Maebashi	city maebashi	1	loanbook
2	UP64	City Maebashi	C124	Nagreeka Foils Ltd	"NACE"	3511	4	DL31	direct_loantaker	power	power	Nagreeka Foils Ltd	nagreeka foils ltd	1	loanbook
3	UP44	Cattle Farm Ubbels	C123	Nagpur Tools Pvt. Ltd.	"NACE"	3511	4	UP5	ultimate_parent	power	power	Cattle Farm Ubbels	cattle farm ubbels	1	loanbook
3	UP44	Cattle Farm Ubbels	C123	Nagpur Tools Pvt. Ltd.	"NACE"	3511	4	DL30	direct_loantaker	power	power	Nagpur Tools Pvt. Ltd.	nagpur tools pvt. ltd.	1	loanbook
4	UP37	Bombay Crimper	C122	Nagina Cotton Mills Ltd	"NACE"	3511	4	UP3	ultimate_parent	power	power	Bombay Crimper	bombay crimper	1	loanbook
4	UP37	Bombay Crimper	C122	Nagina Cotton Mills Ltd	"NACE"	3511	4	DL29	direct_loantaker	power	power	Nagina Cotton Mills Ltd	nagina cotton mills ltd	1	loanbook
5	UP22	Arriva Shipping As	C45	Hakushin Kisen	"NACE"	3011	4	UP2	ultimate_parent	shipping	shipping	Arriva Shipping As	arriva shipping as	1	loanbook
5	UP22	Arriva Shipping As	C45	Hakushin Kisen	"NACE"	3011	4	DL1	direct_loantaker	shipping	shipping	Hakushin Kisen	hakushin kisen	1	loanbook
