rowid	id_loan	id_direct_loantaker	name_direct_loantaker	id_intermediate_parent_1	name_intermediate_parent_1	id_ultimate_parent	name_ultimate_parent	loan_size_outstanding	loan_size_outstanding_currency	loan_size_credit_limit	loan_size_credit_limit_currency	sector_classification_system	sector_classification_input_type	sector_classification_direct_loantaker	fi_type	flag_project_finance_loan	name_project	lei_direct_loantaker	isin_direct_loantaker	chunk	id_2dii	level	sector	sector_ald	name	name_ald	score	source
1	L108	C52	Halten Bulk As	NA	NA	UP168	Labrador Marine Inc	221913	EUR	18931773	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL3	direct_loantaker	shipping	shipping	Halten Bulk As	halten bulk as	1	loanbook
1	L108	C52	Halten Bulk As	NA	NA	UP168	Labrador Marine Inc	221913	EUR	18931773	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP48	ultimate_parent	shipping	shipping	Labrador Marine Inc	labrador marine inc	1	loanbook
2	L109	C53	Ham Rong Shipping Jsc	NA	NA	UP281	Tsetan-Bunker Co Ltd	250681	EUR	19218771	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL4	direct_loantaker	shipping	shipping	Ham Rong Shipping Jsc	ham rong shipping jsc	1	loanbook
2	L109	C53	Ham Rong Shipping Jsc	NA	NA	UP281	Tsetan-Bunker Co Ltd	250681	EUR	19218771	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP85	ultimate_parent	shipping	shipping	Tsetan-Bunker Co Ltd	tsetan-bunker co ltd	1	loanbook
3	L110	C54	Hamaguchi Kaiun	NA	NA	UP287	United Shipping Lines Ltd	282233	EUR	19533543	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL5	direct_loantaker	shipping	shipping	Hamaguchi Kaiun	hamaguchi kaiun	1	loanbook
3	L110	C54	Hamaguchi Kaiun	NA	NA	UP287	United Shipping Lines Ltd	282233	EUR	19533543	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP86	ultimate_parent	shipping	shipping	United Shipping Lines Ltd	united shipping lines ltd	1	loanbook
4	L111	C55	Hamaguchi Kaiun Yk	NA	NA	UP313	Zhoushan Hefeng Shipping Co	348121	EUR	20190861	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL6	direct_loantaker	shipping	shipping	Hamaguchi Kaiun Yk	hamaguchi kaiun yk	1	loanbook
4	L111	C55	Hamaguchi Kaiun Yk	NA	NA	UP313	Zhoushan Hefeng Shipping Co	348121	EUR	20190861	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP101	ultimate_parent	shipping	shipping	Zhoushan Hefeng Shipping Co	zhoushan hefeng shipping co	1	loanbook
5	L112	C56	Hamamoto Kaijo Yk	NA	NA	UP315	Zhoushan Zhongchang Shipping	228409	EUR	18996579	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL7	direct_loantaker	shipping	shipping	Hamamoto Kaijo Yk	hamamoto kaijo yk	1	loanbook
5	L112	C56	Hamamoto Kaijo Yk	NA	NA	UP315	Zhoushan Zhongchang Shipping	228409	EUR	18996579	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP103	ultimate_parent	shipping	shipping	Zhoushan Zhongchang Shipping	zhoushan zhongchang shipping	1	loanbook
6	L113	C57	Hamano Kaiun Kk	NA	NA	UP319	Zurich Ag	347193	EUR	20181603	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL8	direct_loantaker	shipping	shipping	Hamano Kaiun Kk	hamano kaiun kk	1	loanbook
6	L113	C57	Hamano Kaiun Kk	NA	NA	UP319	Zurich Ag	347193	EUR	20181603	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP106	ultimate_parent	shipping	shipping	Zurich Ag	zurich ag	1	loanbook
7	L114	C58	Hamasaki Kaiun Kk	NA	NA	UP143	Jet Shipmanagement Ltd	285017	EUR	19561317	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL9	direct_loantaker	shipping	shipping	Hamasaki Kaiun Kk	hamasaki kaiun kk	1	loanbook
7	L114	C58	Hamasaki Kaiun Kk	NA	NA	UP143	Jet Shipmanagement Ltd	285017	EUR	19561317	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP36	ultimate_parent	shipping	shipping	Jet Shipmanagement Ltd	jet shipmanagement ltd	1	loanbook
8	L115	C59	Hamaura Kaiun	NA	NA	UP125	Highland Maritime Co Ltd	353689	EUR	20246409	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	DL10	direct_loantaker	shipping	shipping	Hamaura Kaiun	hamaura kaiun	1	loanbook
8	L115	C59	Hamaura Kaiun	NA	NA	UP125	Highland Maritime Co Ltd	353689	EUR	20246409	EUR	"NACE"	Code	3011	Loan	No	NA	NA	NA	2	UP30	ultimate_parent	shipping	shipping	Highland Maritime Co Ltd	highland maritime co ltd	1	loanbook
